NAME,POP,FIPS
"Barber, Kansas, US",4427,20007
"Dickinson, Kansas, US",18466,20041
"Jefferson, Kansas, US",19043,20087
"Greenup, Kentucky, US",35098,21089
"Fleming, Kentucky, US",14581,21069
"Carter, Kentucky, US",26797,21043
"Grant, Kentucky, US",25069,21081
"Jefferson, Kentucky, US",766757,21111
"Logan, Kentucky, US",27102,21141
"Mason, Kentucky, US",17070,21161
"Pendleton, Kentucky, US",14590,21191
"Robertson, Kentucky, US",2108,21201
"Spencer, Kentucky, US",19351,21215
"Bath, Kentucky, US",12500,21011
"Ballard, Kentucky, US",7888,21007
"Boyle, Kentucky, US",30060,21021
"Green, Kentucky, US",10941,21087
"Harlan, Kentucky, US",26010,21095
"Martin, Kentucky, US",11195,21159
"Lincoln, Kentucky, US",24549,21137
"Monroe, Kentucky, US",10650,21171
"Ohio, Kentucky, US",23994,21183
"Union, Kentucky, US",14381,21225
"Webster, Kentucky, US",12942,21233
"Emmet, Michigan, US",33415,26047
"Koochiching, Minnesota, US",12229,27071
"Morrison, Minnesota, US",33386,27097
"Pennington, Minnesota, US",14119,27113
"Steele, Minnesota, US",36649,27147
"Wilkin, Minnesota, US",6207,27167
"Aitkin, Minnesota, US",15886,27001
"Faribault, Minnesota, US",13653,27043
"Murray, Minnesota, US",8194,27101
"Kandiyohi, Minnesota, US",43199,27067
"Lake, Minnesota, US",10641,27075
"Rock, Minnesota, US",9315,27133
"Roseau, Minnesota, US",15165,27135
"Traverse, Minnesota, US",3259,27155
"Becker, Minnesota, US",34423,27005
"Hennepin, Minnesota, US",1265843,27053
"Brown, Minnesota, US",25008,27015
"Chippewa, Minnesota, US",11800,27023
"Clearwater, Minnesota, US",8818,27029
"Goodhue, Minnesota, US",46340,27049
"Isanti, Minnesota, US",40596,27059
"Jackson, Minnesota, US",9846,27063
"Mower, Minnesota, US",40062,27099
"Pine, Minnesota, US",29579,27115
"Olmsted, Minnesota, US",158293,27109
"Wadena, Minnesota, US",13682,27159
"Benton, Minnesota, US",40889,27009
"Freeborn, Minnesota, US",30281,27047
"Itasca, Minnesota, US",45130,27061
"Pope, Minnesota, US",11249,27121
"Stevens, Minnesota, US",9805,27149
"Swift, Minnesota, US",9266,27151
"Cottonwood, Minnesota, US",11196,27033
"Scott, Minnesota, US",149013,27139
"Wabasha, Minnesota, US",21627,27157
"Pipestone, Minnesota, US",9126,27117
"Norman, Minnesota, US",6375,27107
"Nicollet, Minnesota, US",34274,27103
"Lincoln, Arkansas, US",13024,05079
"Crittenden, Arkansas, US",47955,05035
"Faulkner, Arkansas, US",126007,05045
"Marion, Arkansas, US",16694,05089
"Searcy, Arkansas, US",7881,05129
"Benton, Arkansas, US",279141,05007
"Hot Spring, Arkansas, US",33771,05059
"Madison, Arkansas, US",16576,05087
"Lafayette, Arkansas, US",6624,05073
"Phillips, Arkansas, US",17782,05107
"Yell, Arkansas, US",21341,05149
"Bradley, Arkansas, US",10763,05011
"Polk, Arkansas, US",19964,05113
"Ouachita, Arkansas, US",23382,05103
"Little River, Arkansas, US",12259,05081
"Miller, Arkansas, US",43257,05091
"Marshall, Kansas, US",9707,20117
"Allen, Kansas, US",12369,20001
"Cheyenne, Kansas, US",2657,20023
"Cowley, Kansas, US",34908,20035
"Elk, Kansas, US",2530,20049
"Franklin, Kansas, US",25544,20059
"Hodgeman, Kansas, US",1794,20083
"Jewell, Kansas, US",2879,20089
"Rice, Kansas, US",9537,20159
"Stafford, Kansas, US",4156,20185
"Osage, Kansas, US",15949,20139
"Coffey, Kansas, US",8179,20031
"Crawford, Kansas, US",38818,20037
"Greenwood, Kansas, US",5982,20073
"Labette, Kansas, US",19618,20099
"Sedgwick, Kansas, US",516042,20173
"Republic, Kansas, US",4636,20157
"Graham, Kansas, US",2482,20065
"Douglas, Kansas, US",122259,20045
"Sheridan, Kansas, US",2521,20179
"Gray, Kansas, US",5988,20069
"Cumberland, Pennsylvania, US",253370,42041
"Allegheny, Pennsylvania, US",1216045,42003
"Westmoreland, Pennsylvania, US",348899,42129
"Forest, Pennsylvania, US",7247,42053
"Blair, Pennsylvania, US",121829,42013
"Lawrence, Pennsylvania, US",85512,42073
"Bradford, Pennsylvania, US",60323,42015
"Cambria, Pennsylvania, US",130192,42021
"Chester, Pennsylvania, US",524989,42029
"Berks, Pennsylvania, US",421164,42011
"Mifflin, Pennsylvania, US",46138,42087
"Mercer, Missouri, US",3617,29129
"Wright, Missouri, US",18289,29229
"Clay, Missouri, US",249948,29047
"Dent, Missouri, US",15573,29065
"Saline, Missouri, US",22761,29195
"Worth, Missouri, US",2013,29227
"Grundy, Missouri, US",9850,29079
"Morgan, Missouri, US",20627,29141
"Reynolds, Missouri, US",6270,29179
"St. Louis, Missouri, US",994205,29189
"Stone, Missouri, US",31952,29209
"Barry, Missouri, US",35789,29009
"Boone, Missouri, US",180463,29019
"Cole, Missouri, US",76745,29051
"Crawford, Missouri, US",23920,29055
"Iron, Missouri, US",10125,29093
"Livingston, Missouri, US",15227,29117
"Moniteau, Missouri, US",16132,29135
"Pemiscot, Missouri, US",15805,29155
"Pettis, Missouri, US",42339,29159
"Shannon, Missouri, US",8166,29203
"Randolph, Missouri, US",24748,29175
"Dunklin, Missouri, US",29131,29069
"Franklin, Missouri, US",103967,29071
"Howard, Missouri, US",10001,29089
"Jackson, Missouri, US",703011,29095
"Miller, Missouri, US",25619,29131
"Putnam, Missouri, US",4696,29171
"Taney, Missouri, US",55928,29213
"Buchanan, Missouri, US",87364,29021
"Caldwell, Missouri, US",9020,29025
"Cass, Missouri, US",105780,29037
"Clinton, Missouri, US",20387,29049
"Dallas, Missouri, US",16878,29059
"Hickory, Missouri, US",9544,29085
"Lincoln, Missouri, US",59013,29113
"Monroe, Missouri, US",8644,29137
"Newton, Missouri, US",58236,29145
"Pike, Missouri, US",18302,29163
"Ector, Texas, US",166223,48135
"Garza, Texas, US",6229,48169
